|chunk|chunk_hash|source_url
0|"In Euclidean geometry, an angle is the figure formed by two rays, called the sides of the angle, sharing a common endpoint, called the vertex of the angle.
Angles formed by two rays are also known as plane angles as they lie in the plane that contains the rays. Angles are also formed by the intersection of two planes; these are called dihedral angles. Two intersecting curves may also define an angle, which is the angle of the rays lying tangent to the respective curves at their point of intersection.
The magnitude of an angle is called an angular measure or simply ""angle"". Angle of rotation is a measure conventionally defined as the ratio of a circular arc length to its radius, and may be a negative number. In the case of a geometric angle, the arc is centered at the vertex and delimited by the sides. In the case of a rotation, the arc is centered at the center of the rotation and delimited by any other point and its image by the rotation."|4bd49cb1c18ede1eb214179e2fba9ff6|https://en.wikipedia.org/wiki/Angle
1|"The word angle comes from the Latin word angulus, meaning ""corner"". Cognate words include the Greek ἀγκύλος (ankylοs) meaning ""crooked, curved"" and the English word ""ankle"". Both are connected with the Proto-Indo-European root *ank-, meaning ""to bend"" or ""bow"".Euclid defines a plane angle as the inclination to each other, in a plane, of two lines that meet each other and do not lie straight with respect to each other. According to the Neoplatonic metaphysician Proclus, an angle must be either a quality, a quantity, or a relationship. The first concept, angle as quality, was used by Eudemus of Rhodes, who regarded an angle as a deviation from a straight line; the second, angle as quality, by Carpus of Antioch, who regarded it as the interval or space between the intersecting lines; Euclid adopted the third: angle as a relationship."|ee8178f9c017e2971adf1acaca3c93fc|https://en.wikipedia.org/wiki/Angle
2|"In mathematical expressions, it is common to use Greek letters (α, β, γ, θ, φ, . . . ) as variables denoting the size of some angle (the symbol π is typically not used for this purpose to avoid confusion with the constant denoted by that symbol). Lower case Roman letters (a, b, c, . . . ) are also used. In contexts where this is not confusing, an angle may be denoted by the upper case Roman letter denoting its vertex. See the figures in this article for examples.
The three defining points may also identify angles in geometric figures. For example, the angle with vertex A formed by the rays AB and AC (that is, the half-lines from point A through points B and C) is denoted ∠BAC or  
B
A
C  
^  
{\displaystyle {\widehat {\rm {BAC}}}}
. Where there is no risk of confusion, the angle may sometimes be referred to by a single vertex alone (in this case, ""angle A"").
Potentially, an angle denoted as, say, ∠BAC might refer to any of four angles: the clockwise angle from B to C about A, the anticlockwise angle from B to C about A, the clockwise angle from C to B about A, or the anticlockwise angle from C to B about A, where the direction in which the angle is measured determines its sign (see § Signed angles). However, in many geometrical situations, it is evident from the context that the positive angle less than or equal to 180 degrees is meant, and in these cases, no ambiguity arises. Otherwise, to avoid ambiguity, specific conventions may be adopted so that, for instance, ∠BAC always refers to the anticlockwise (positive) angle from B to C about A and ∠CAB the anticlockwise (positive) angle from C to B about A."|73e1a3077ce0d8066c52c63b25854f64|https://en.wikipedia.org/wiki/Angle
3|"=== Individual angles ===
There is some common terminology for angles, whose measure is always non-negative (see § Signed angles):  
An angle equal to 0° or not turned is called a zero angle.
An angle smaller than a right angle (less than 90°) is called an acute angle (""acute"" meaning ""sharp"").
An angle equal to 1/4 turn (90° or π/2 radians) is called a right angle. Two lines that form a right angle are said to be normal, orthogonal, or perpendicular.
An angle larger than a right angle and smaller than a straight angle (between 90° and 180°) is called an obtuse angle (""obtuse"" meaning ""blunt"").
An angle equal to 1/2 turn (180° or π radians) is called a straight angle.
An angle larger than a straight angle but less than 1 turn (between 180° and 360°) is called a reflex angle.
An angle equal to 1 turn (360° or 2π radians) is called a full angle, complete angle, round angle or perigon.
An angle that is not a multiple of a right angle is called an oblique angle.The names, intervals, and measuring units are shown in the table below:  
=== Vertical and adjacent angle pairs ===  
When two straight lines intersect at a point, four angles are formed. Pairwise, these angles are named according to their location relative to each other.  
A transversal is a line that intersects a pair of (often parallel) lines and is associated with alternate interior angles, corresponding angles, interior angles, and exterior angles.  
=== Combining angle pairs ===
The angle addition postulate states that if B is in the interior of angle AOC, then  
I.e., the measure of the angle AOC is the sum of the measure of angle AOB and the measure of angle BOC.
Three special angle pairs involve the summation of angles:  
=== Polygon-related angles ==="|b71633a1f45685be057f922924194392|https://en.wikipedia.org/wiki/Angle
4|"I.e., the measure of the angle AOC is the sum of the measure of angle AOB and the measure of angle BOC.
Three special angle pairs involve the summation of angles:  
=== Polygon-related angles ===
An angle that is part of a simple polygon is called an interior angle if it lies on the inside of that simple polygon. A simple concave polygon has at least one interior angle, that is, a reflex angle.   In Euclidean geometry, the measures of the interior angles of a triangle add up to π radians, 180°, or 1/2 turn; the measures of the interior angles of a simple convex quadrilateral add up to 2π radians, 360°, or 1 turn. In general, the measures of the interior angles of a simple convex polygon with n sides add up to (n − 2)π  radians, or (n − 2)180 degrees, (n − 2)2 right angles, or (n − 2)1/2 turn.
The supplement of an interior angle is called an exterior angle; that is, an interior angle and an exterior angle form a linear pair of angles. There are two exterior angles at each vertex of the polygon, each determined by extending one of the two sides of the polygon that meet at the vertex; these two angles are vertical and hence are equal. An exterior angle measures the amount of rotation one must make at a vertex to trace the polygon. If the corresponding interior angle is a reflex angle, the exterior angle should be considered negative. Even in a non-simple polygon, it may be possible to define the exterior angle. Still, one will have to pick an orientation of the plane (or surface) to decide the sign of the exterior angle measure.   In Euclidean geometry, the sum of the exterior angles of a simple convex polygon, if only one of the two exterior angles is assumed at each vertex, will be one full turn (360°). The exterior angle here could be called a supplementary exterior angle. Exterior angles are commonly used in Logo Turtle programs when drawing regular polygons."|d4e50e358ac09cc626f2161ea78a58ee|https://en.wikipedia.org/wiki/Angle
5|"In a triangle, the bisectors of two exterior angles and the bisector of the other interior angle are concurrent (meet at a single point).: 149
In a triangle, three intersection points, each of an external angle bisector with the opposite extended side, are collinear.: p. 149
In a triangle, three intersection points, two between an interior angle bisector and the opposite side, and the third between the other exterior angle bisector and the opposite side extended are collinear.: 149
Some authors use the name exterior angle of a simple polygon to mean the explement exterior angle (not supplement!) of the interior angle. This conflicts with the above usage.  
=== Plane-related angles ===
The angle between two planes (such as two adjacent faces of a polyhedron) is called a dihedral angle. It may be defined as the acute angle between two lines normal to the planes.
The angle between a plane and an intersecting straight line is equal to ninety degrees minus the angle between the intersecting line and the line that goes through the point of intersection and is normal to the plane."|546cdce4be716c8d190401e145269d59|https://en.wikipedia.org/wiki/Angle
6|"The size of a geometric angle is usually characterized by the magnitude of the smallest rotation that maps one of the rays into the other. Angles of the same size are said to be equal congruent or equal in measure.
In some contexts, such as identifying a point on a circle or describing the orientation of an object in two dimensions relative to a reference orientation, angles that differ by an exact multiple of a full turn are effectively equivalent.  In other contexts, such as identifying a point on a spiral curve or describing an object's cumulative rotation in two dimensions relative to a reference orientation, angles that differ by a non-zero multiple of a full turn are not equivalent.  
To measure an angle θ, a circular arc centered at the vertex of the angle is drawn, e.g., with a pair of compasses. The ratio of the length s of the arc by the radius r of the circle is the number of radians in the angle:
Conventionally, in mathematics and the SI, the radian is treated as being equal to the dimensionless unit 1, thus being normally omitted.
The angle expressed by another angular unit may then be obtained by multiplying the angle by a suitable conversion constant of the form k/2π, where k is the measure of a complete turn expressed in the chosen unit (for example, k = 360° for degrees or 400  grad for gradians):  
The value of θ thus defined is independent of the size of the circle: if the length of the radius is changed, then the arc length changes in the same proportion, so the ratio s/r is unaltered.  
=== Units ==="|7c34886bd82e4074f27bc9c5c960e1ae|https://en.wikipedia.org/wiki/Angle
7|"=== Units ===
Throughout history, angles have been measured in various units. These are known as angular units, with the most contemporary units being the degree ( ° ), the radian (rad), and the gradian (grad), though many others have been used throughout history. Most units of angular measurement are defined such that one turn (i.e., the angle subtended by the circumference of a circle at its centre) is equal to n units, for some whole number n.  Two exceptions are the radian (and its decimal submultiples) and the diameter part.
In the International System of Quantities, an angle is defined as a dimensionless quantity, and in particular, the radian unit is dimensionless. This convention impacts how angles are treated in dimensional analysis.
The following table list some units used to represent angles.  
=== Dimensional analysis ===  
=== Signed angles ===  
It is frequently helpful to impose a convention that allows positive and negative angular values to represent orientations and/or rotations in opposite directions or ""sense"" relative to some reference.
In a two-dimensional Cartesian coordinate system, an angle is typically defined by its two sides, with its vertex at the origin. The initial side is on the positive x-axis, while the other side or terminal side is defined by the measure from the initial side in radians, degrees, or turns, with positive angles representing rotations toward the positive y-axis and negative angles representing rotations toward the negative y-axis.  When Cartesian coordinates are represented by standard position, defined by the x-axis rightward and the y-axis upward, positive rotations are anticlockwise, and negative cycles are clockwise."|894e56eea3c32583b611bd787efa6739|https://en.wikipedia.org/wiki/Angle
8|"In many contexts, an angle of −θ is effectively equivalent to an angle of ""one full turn minus θ"". For example, an orientation represented as −45° is effectively equal to an orientation defined as 360° − 45° or 315°.  Although the final position is the same, a physical rotation (movement) of −45° is not the same as a rotation of 315° (for example, the rotation of a person holding a broom resting on a dusty floor would leave visually different traces of swept regions on the floor).
In three-dimensional geometry, ""clockwise"" and ""anticlockwise"" have no absolute meaning, so the direction of positive and negative angles must be defined in terms of an orientation, which is typically determined by a normal vector passing through the angle's vertex and perpendicular to the plane in which the rays of the angle lie.
In navigation, bearings or azimuth are measured relative to north.  By convention, viewed from above, bearing angles are positive clockwise, so a bearing of 45° corresponds to a north-east orientation. Negative bearings are not used in navigation, so a north-west orientation corresponds to a bearing of 315°.  
=== Equivalent angles ===
Angles that have the same measure (i.e., the same magnitude) are said to be equal or congruent. An angle is defined by its measure and is not dependent upon the lengths of the sides of the angle (e.g., all right angles are equal in measure).
Two angles that share terminal sides, but differ in size by an integer multiple of a turn, are called coterminal angles."|726c5dbde1e294d50000d6f84c3aadec|https://en.wikipedia.org/wiki/Angle
9|"Two angles that share terminal sides, but differ in size by an integer multiple of a turn, are called coterminal angles.
The reference angle (sometimes called related angle) for any angle θ in standard position is the positive acute angle between the terminal side of θ and the x-axis (positive or negative). Procedurally, the magnitude of the reference angle for a given angle may determined by taking the angle's magnitude modulo 1/2 turn, 180°, or π radians, then stopping if the angle is acute, otherwise taking the supplementary angle, 180° minus the reduced magnitude. For example, an angle of 30 degrees is already a reference angle, and an angle of 150 degrees also has a reference angle of 30 degrees (180° − 150°). Angles of 210° and 510° correspond to a reference angle of 30 degrees as well (210° mod 180° = 30°, 510° mod 180° = 150° whose supplementary angle is 30°).  
=== Related quantities ===
For an angular unit, it is definitional that the angle addition postulate holds. Some quantities related to angles where the angle addition postulate does not hold include:  
The slope or gradient is equal to the tangent of the angle; a gradient is often expressed as a percentage. For very small values (less than 5%), the slope of a line is approximately the measure in radians of its angle with the horizontal direction.
The spread between two lines is defined in rational geometry as the square of the sine of the angle between the lines. As the sine of an angle and the sine of its supplementary angle are the same, any angle of rotation that maps one of the lines into the other leads to the same value for the spread between the lines.
Although done rarely, one can report the direct results of trigonometric functions, such as the sine of the angle."|6bce5b6af8d9a9d96efd6e5dac04122d|https://en.wikipedia.org/wiki/Angle
